ClientId,CreditStatus
864631,Ativo
1109710,Ativo
2408552,Bloqueado
1854314,Reprovado
3191960,Reprovado
3080010,Ativo
4151217,Reprovado
1625200,Reprovado
2898317,Reprovado
1557338,Ativo
2086489,Reprovado
4376683,Reprovado
3307377,Ativo
699093,Ativo
1054247,Reprovado
2131478,Ativo
1547660,Ativo
3533915,Ativo
469043,Reprovado
1654195,Ativo
2307233,Ativo
127111,Ativo
473319,Reprovado
1695875,Ativo
2603416,Reprovado
2402957,Reprovado
436862,Reprovado
2823485,Ativo
2646307,Reprovado
3368534,Ativo
2412682,Ativo
3458489,Ativo
2256650,Reprovado
429514,Ativo
480178,Reprovado
2975743,Reprovado
1463682,Bloqueado
1330935,Reprovado
2481745,Ativo
2438543,Ativo
4132672,Reprovado
630533,Reprovado
918172,Ativo
3635784,Ativo
991397,Ativo
1572324,Reprovado
2346159,Ativo
2825757,Ativo
3460182,Reprovado
3123476,Reprovado
1197929,Ativo
432014,Reprovado
2260005,Ativo
1796912,Bloqueado
2895917,Ativo
3850036,Ativo
3432678,Ativo
752576,Reprovado
2516469,Reprovado
3950998,Ativo
1424567,Ativo
2327514,Ativo
1690512,Reprovado
2946696,Ativo
4402537,Reprovado
3759867,Ativo
2430376,Reprovado
2790525,Ativo
1591751,Reprovado
1542562,Bloqueado
2025479,Ativo
2089998,Ativo
2430022,Reprovado
3648102,Ativo
2810984,Reprovado
994823,Ativo
2255546,Reprovado
2043002,Ativo
339376,Reprovado
1791856,Reprovado
506818,Reprovado
2595460,Reprovado
254359,Ativo
2368269,Ativo
2219189,Reprovado
2700856,Bloqueado
2113951,Reprovado
530618,Reprovado
1797991,Ativo
39846,Bloqueado
850587,Reprovado
2577391,Ativo
2658740,Ativo
1800873,Reprovado
2161587,Bloqueado
3842134,Ativo
3947382,Reprovado
3586323,Ativo
576393,Bloqueado
1824405,Reprovado
2705128,Reprovado
2179453,Ativo
1811226,Reprovado
3557789,Reprovado
3709898,Reprovado
1063271,Reprovado
2316668,Ativo
3147001,Ativo
2036378,Reprovado
1325130,Reprovado
2509489,Ativo
4169590,Reprovado
3504367,Ativo
1407669,Ativo
1901121,Ativo
2172447,Ativo
2528434,Ativo
3298324,Ativo
3641485,Reprovado
476788,Reprovado
1446805,Reprovado
1821212,Ativo
2880973,Ativo
2725156,Ativo
2646808,Ativo
49641,Reprovado
394460,Reprovado
2385617,Ativo
988453,Ativo
2048007,Ativo
2399546,Bloqueado
2106299,Ativo
2394669,Reprovado
2191870,Reprovado
3254257,Reprovado
3823192,Reprovado
1726302,Ativo
1612089,Reprovado
2242975,Ativo
1659971,Reprovado
1834201,Reprovado
2535293,Ativo
3629089,Ativo
4312482,Reprovado
611792,Reprovado
2003008,Bloqueado
2596621,Reprovado
2802232,Ativo
2811292,Ativo
3667196,Reprovado
1045977,Ativo
1799216,Ativo
3149487,Reprovado
4401115,Reprovado
2806819,Ativo
2704442,Reprovado
262682,Reprovado
883668,Reprovado
1061424,Reprovado
1425002,Reprovado
1642620,Ativo
1737573,Ativo
3250874,Reprovado
1184707,Ativo
1446023,Bloqueado
3812907,Reprovado
1620017,Ativo
1178258,Reprovado
3689332,Ativo
831582,Bloqueado
1901864,Ativo
2588748,Ativo
2685069,Bloqueado
3271423,Reprovado
2686326,Reprovado
4267594,Reprovado
2131295,Reprovado
2707065,Ativo
2793101,Ativo
1367221,Reprovado
3789489,Reprovado
143162,Ativo
1283136,Ativo
1126726,Ativo
762361,Reprovado
906197,Ativo
2115694,Reprovado
1898423,Reprovado
1965340,Ativo
1913814,Ativo
1975553,Reprovado
2300242,Bloqueado
2302432,Ativo
2750845,Reprovado
847151,Ativo
1897595,Ativo
1034991,Reprovado
1605448,Reprovado
1180073,Reprovado
2257172,Ativo
2146536,Ativo
2822927,Reprovado
1114172,Ativo
2279157,Ativo
1993602,Ativo
1794221,Reprovado
898476,Reprovado
1169853,Ativo
2366479,Bloqueado
3070168,Ativo
2408798,Reprovado
3123866,Ativo
3871696,Ativo
955529,Bloqueado
1971281,Ativo
2493095,Ativo
2579791,Reprovado
1266938,Reprovado
3835892,Reprovado
3067853,Ativo
956804,Reprovado
2247047,Reprovado
4399747,Reprovado
414463,Ativo
1444512,Ativo
536174,Ativo
2020377,Reprovado
3359910,Ativo
2277070,Reprovado
898230,Ativo
293349,Ativo
1631620,Reprovado
2764657,Ativo
267905,Reprovado
1164494,Ativo
1349905,Reprovado
1621935,Reprovado
1529822,Reprovado
1148160,Reprovado
2347527,Ativo
2499529,Ativo
1220400,Ativo
1127372,Reprovado
394296,Reprovado
388430,Reprovado
2798030,Reprovado
4024862,Reprovado
3350228,Reprovado
951946,Ativo
740234,Ativo
1475146,Bloqueado
3139334,Reprovado
2782105,Ativo
2149029,Reprovado
2969327,Reprovado
1667163,Ativo
2651184,Ativo
1558774,Ativo
1613083,Bloqueado
2912171,Reprovado
2954266,Bloqueado
879356,Reprovado
1088957,Reprovado
2527705,Ativo
1595234,Reprovado
1439732,Ativo
156901,Reprovado
2071332,Ativo
4068789,Reprovado
238661,Reprovado
121245,Ativo
2417437,Ativo
1345008,Ativo
2644443,Ativo
1615308,Reprovado
3761128,Ativo
1653784,Ativo
602614,Reprovado
213382,Reprovado
2221629,Reprovado
1648107,Reprovado
2031631,Ativo
3339525,Reprovado
681838,Ativo
1708314,Reprovado
2446167,Ativo
4207745,Ativo
1635053,Reprovado
1007055,Ativo
2761295,Ativo
2726953,Ativo
1301027,Bloqueado
177922,Bloqueado
2298873,Reprovado
251443,Reprovado
1670214,Ativo
2738474,Bloqueado
3644583,Ativo
1522392,Bloqueado
1088000,Ativo
1748694,Ativo
1278352,Reprovado
1967848,Ativo
3353236,Reprovado
126586,Ativo
1964604,Ativo
738154,Reprovado
923730,Reprovado
1684486,Ativo
1586600,Bloqueado
202490,Bloqueado
882490,Ativo
1042483,Bloqueado
3248298,Reprovado
2738166,Reprovado
3263899,Reprovado
1030033,Ativo
377531,Ativo
14656,Reprovado
2240178,Ativo
1653855,Reprovado
2195807,Reprovado
1799127,Bloqueado
2906537,Reprovado
1845069,Ativo
3443909,Reprovado
2955498,Reprovado
1229642,Ativo
1564876,Ativo
938184,Reprovado
959451,Reprovado
1147842,Reprovado
2602602,Ativo
1904383,Ativo
120148,Ativo
1642781,Ativo
1502532,Reprovado
1869944,Ativo
679141,Ativo
3564748,Reprovado
78864,Reprovado
3177510,Ativo
1776081,Ativo
2428101,Ativo
4319241,Reprovado
2150297,Reprovado
47148,Ativo
2232965,Ativo
2111000,Reprovado
4277229,Reprovado
1180263,Ativo
190293,Reprovado
2549390,Bloqueado
1773258,Reprovado
1972753,Ativo
4292212,Reprovado
1510249,Ativo
814920,Ativo
1574768,Ativo
4035447,Reprovado
2872399,Ativo
1596281,Reprovado
344685,Reprovado
80868,Reprovado
1489153,Reprovado
2443769,Reprovado
3670547,Reprovado
1683750,Ativo
1535803,Ativo
1650004,Reprovado
2493045,Ativo
937606,Bloqueado
1818954,Ativo
1379561,Ativo
537931,Reprovado
2075729,Reprovado
2195394,Aprovado
1282761,Ativo
901052,Reprovado
3813182,Reprovado
2142296,Aprovado
3970196,Reprovado
983080,Ativo
1622250,Bloqueado
1298630,Ativo
239233,Ativo
1165558,Reprovado
2645972,Ativo
2772745,Ativo
472987,Reprovado
446940,Reprovado
1826274,Bloqueado
2107671,Ativo
2311020,Ativo
776909,Bloqueado
1681974,Reprovado
421250,Reprovado
443021,Reprovado
188404,Ativo
1394047,Bloqueado
1091837,Ativo
2729228,Reprovado
2778914,Reprovado
2148293,Reprovado
2055094,Reprovado
2838342,Reprovado
4152060,Reprovado
1151769,Ativo
2045367,Bloqueado
2828604,Ativo
2360130,Reprovado
591951,Ativo
3453151,Reprovado
2273162,Reprovado
898001,Reprovado
1515075,Reprovado
3236020,Ativo
3731412,Bloqueado
327827,Ativo
2564355,Bloqueado
1864874,Reprovado
92375,Reprovado
1053383,Ativo
143905,Ativo
2574108,Ativo
2280086,Bloqueado
1742138,Reprovado
82855,Ativo
442475,Ativo
964353,Ativo
907057,Reprovado
2266800,Bloqueado
2193617,Reprovado
1549628,Reprovado
1226216,Ativo
1397987,Reprovado
1092212,Ativo
1673032,Reprovado
3811760,Reprovado
2440343,Reprovado
1136435,Reprovado
652440,Ativo
2724745,Ativo
1429489,Reprovado
996034,Ativo
1535549,Reprovado
1847151,Reprovado
2113101,Ativo
1255560,Ativo
2286688,Ativo
1573828,Reprovado
2537665,Ativo
4179132,Reprovado
326530,Ativo
1939364,Reprovado
3955338,Reprovado
1784211,Reprovado
3016795,Ativo
968686,Reprovado
170298,Reprovado
2164091,Ativo
1777620,Reprovado
2872095,Reprovado
3876704,Reprovado
966414,Reprovado
2578338,Ativo
2250480,Reprovado
3142843,Ativo
2392244,Ativo
1001957,Ativo
1829282,Ativo
3377140,Bloqueado
1197468,Ativo
1358061,Reprovado
3377944,Ativo
2543031,Ativo
1602037,Bloqueado
2193375,Ativo
2367922,Reprovado
2873688,Reprovado
3434124,Reprovado
2019406,Ativo
491896,Reprovado
2486550,Ativo
2985203,Reprovado
2424724,Reprovado
1681235,Ativo
762772,Reprovado
2169993,Bloqueado
62435,Ativo
1923442,Ativo
2548486,Ativo
912798,Reprovado
3413111,Reprovado
